order_id,customer_id,product_id,quantity,price,order_date,id,name,username,email,address.city,address.geo.lat,address.geo.lng,weather
2334,5,40,3,35.6,2022-06-21,5,Chelsey Dietrich,Kamren,Lucio_Hettinger@annie.ca,Roscoeview,-31.8129,62.5342,"{'coord': {'lon': '62.5342', 'lat': '-31.8129'}, 'weather': [{'id': 501, 'main': 'Rain', 'description': 'moderate rain', 'icon': '10d'}], 'base': 'stations', 'main': {'temp': 298.48, 'feels_like': 298.74, 'temp_min': 297.56, 'temp_max': 300.05, 'pressure': 1015, 'humidity': 64, 'sea_level': 1015, 'grnd_level': 933}, 'visibility': 10000, 'wind': {'speed': 0.62, 'deg': 349, 'gust': 1.18}, 'rain': {'1h': 3.16}, 'clouds': {'all': 100}, 'dt': 1661870592, 'sys': {'type': 2, 'id': 2075663, 'country': 'IT', 'sunrise': 1661834187, 'sunset': 1661882248}, 'timezone': 7200, 'id': 3163858, 'name': 'Zocca', 'cod': 200}"
6228,8,13,7,36.52,2023-03-08,8,Nicholas Runolfsdottir V,Maxime_Nienow,Sherwood@rosamond.me,Aliyaview,-14.3990,-120.7677,"{'coord': {'lon': '-120.7677', 'lat': '-14.3990'}, 'weather': [{'id': 501, 'main': 'Rain', 'description': 'moderate rain', 'icon': '10d'}], 'base': 'stations', 'main': {'temp': 298.48, 'feels_like': 298.74, 'temp_min': 297.56, 'temp_max': 300.05, 'pressure': 1015, 'humidity': 64, 'sea_level': 1015, 'grnd_level': 933}, 'visibility': 10000, 'wind': {'speed': 0.62, 'deg': 349, 'gust': 1.18}, 'rain': {'1h': 3.16}, 'clouds': {'all': 100}, 'dt': 1661870592, 'sys': {'type': 2, 'id': 2075663, 'country': 'IT', 'sunrise': 1661834187, 'sunset': 1661882248}, 'timezone': 7200, 'id': 3163858, 'name': 'Zocca', 'cod': 200}"
7784,9,44,4,46.56,2023-04-22,9,Glenna Reichert,Delphine,Chaim_McDermott@dana.io,Bartholomebury,24.6463,-168.8889,"{'coord': {'lon': '-168.8889', 'lat': '24.6463'}, 'weather': [{'id': 501, 'main': 'Rain', 'description': 'moderate rain', 'icon': '10d'}], 'base': 'stations', 'main': {'temp': 298.48, 'feels_like': 298.74, 'temp_min': 297.56, 'temp_max': 300.05, 'pressure': 1015, 'humidity': 64, 'sea_level': 1015, 'grnd_level': 933}, 'visibility': 10000, 'wind': {'speed': 0.62, 'deg': 349, 'gust': 1.18}, 'rain': {'1h': 3.16}, 'clouds': {'all': 100}, 'dt': 1661870592, 'sys': {'type': 2, 'id': 2075663, 'country': 'IT', 'sunrise': 1661834187, 'sunset': 1661882248}, 'timezone': 7200, 'id': 3163858, 'name': 'Zocca', 'cod': 200}"
6588,5,26,1,15.87,2022-10-23,5,Chelsey Dietrich,Kamren,Lucio_Hettinger@annie.ca,Roscoeview,-31.8129,62.5342,"{'coord': {'lon': '62.5342', 'lat': '-31.8129'}, 'weather': [{'id': 501, 'main': 'Rain', 'description': 'moderate rain', 'icon': '10d'}], 'base': 'stations', 'main': {'temp': 298.48, 'feels_like': 298.74, 'temp_min': 297.56, 'temp_max': 300.05, 'pressure': 1015, 'humidity': 64, 'sea_level': 1015, 'grnd_level': 933}, 'visibility': 10000, 'wind': {'speed': 0.62, 'deg': 349, 'gust': 1.18}, 'rain': {'1h': 3.16}, 'clouds': {'all': 100}, 'dt': 1661870592, 'sys': {'type': 2, 'id': 2075663, 'country': 'IT', 'sunrise': 1661834187, 'sunset': 1661882248}, 'timezone': 7200, 'id': 3163858, 'name': 'Zocca', 'cod': 200}"
5910,8,32,10,77.0,2022-10-05,8,Nicholas Runolfsdottir V,Maxime_Nienow,Sherwood@rosamond.me,Aliyaview,-14.3990,-120.7677,"{'coord': {'lon': '-120.7677', 'lat': '-14.3990'}, 'weather': [{'id': 501, 'main': 'Rain', 'description': 'moderate rain', 'icon': '10d'}], 'base': 'stations', 'main': {'temp': 298.48, 'feels_like': 298.74, 'temp_min': 297.56, 'temp_max': 300.05, 'pressure': 1015, 'humidity': 64, 'sea_level': 1015, 'grnd_level': 933}, 'visibility': 10000, 'wind': {'speed': 0.62, 'deg': 349, 'gust': 1.18}, 'rain': {'1h': 3.16}, 'clouds': {'all': 100}, 'dt': 1661870592, 'sys': {'type': 2, 'id': 2075663, 'country': 'IT', 'sunrise': 1661834187, 'sunset': 1661882248}, 'timezone': 7200, 'id': 3163858, 'name': 'Zocca', 'cod': 200}"
3983,3,11,4,85.04,2022-11-25,3,Clementine Bauch,Samantha,Nathan@yesenia.net,McKenziehaven,-68.6102,-47.0653,"{'coord': {'lon': '-47.0653', 'lat': '-68.6102'}, 'weather': [{'id': 501, 'main': 'Rain', 'description': 'moderate rain', 'icon': '10d'}], 'base': 'stations', 'main': {'temp': 298.48, 'feels_like': 298.74, 'temp_min': 297.56, 'temp_max': 300.05, 'pressure': 1015, 'humidity': 64, 'sea_level': 1015, 'grnd_level': 933}, 'visibility': 10000, 'wind': {'speed': 0.62, 'deg': 349, 'gust': 1.18}, 'rain': {'1h': 3.16}, 'clouds': {'all': 100}, 'dt': 1661870592, 'sys': {'type': 2, 'id': 2075663, 'country': 'IT', 'sunrise': 1661834187, 'sunset': 1661882248}, 'timezone': 7200, 'id': 3163858, 'name': 'Zocca', 'cod': 200}"
9464,10,15,6,45.41,2023-03-25,10,Clementina DuBuque,Moriah.Stanton,Rey.Padberg@karina.biz,Lebsackbury,-38.2386,57.2232,"{'coord': {'lon': '57.2232', 'lat': '-38.2386'}, 'weather': [{'id': 501, 'main': 'Rain', 'description': 'moderate rain', 'icon': '10d'}], 'base': 'stations', 'main': {'temp': 298.48, 'feels_like': 298.74, 'temp_min': 297.56, 'temp_max': 300.05, 'pressure': 1015, 'humidity': 64, 'sea_level': 1015, 'grnd_level': 933}, 'visibility': 10000, 'wind': {'speed': 0.62, 'deg': 349, 'gust': 1.18}, 'rain': {'1h': 3.16}, 'clouds': {'all': 100}, 'dt': 1661870592, 'sys': {'type': 2, 'id': 2075663, 'country': 'IT', 'sunrise': 1661834187, 'sunset': 1661882248}, 'timezone': 7200, 'id': 3163858, 'name': 'Zocca', 'cod': 200}"
8272,9,11,1,71.7,2022-09-10,9,Glenna Reichert,Delphine,Chaim_McDermott@dana.io,Bartholomebury,24.6463,-168.8889,"{'coord': {'lon': '-168.8889', 'lat': '24.6463'}, 'weather': [{'id': 501, 'main': 'Rain', 'description': 'moderate rain', 'icon': '10d'}], 'base': 'stations', 'main': {'temp': 298.48, 'feels_like': 298.74, 'temp_min': 297.56, 'temp_max': 300.05, 'pressure': 1015, 'humidity': 64, 'sea_level': 1015, 'grnd_level': 933}, 'visibility': 10000, 'wind': {'speed': 0.62, 'deg': 349, 'gust': 1.18}, 'rain': {'1h': 3.16}, 'clouds': {'all': 100}, 'dt': 1661870592, 'sys': {'type': 2, 'id': 2075663, 'country': 'IT', 'sunrise': 1661834187, 'sunset': 1661882248}, 'timezone': 7200, 'id': 3163858, 'name': 'Zocca', 'cod': 200}"
3569,5,47,9,19.35,2023-05-25,5,Chelsey Dietrich,Kamren,Lucio_Hettinger@annie.ca,Roscoeview,-31.8129,62.5342,"{'coord': {'lon': '62.5342', 'lat': '-31.8129'}, 'weather': [{'id': 501, 'main': 'Rain', 'description': 'moderate rain', 'icon': '10d'}], 'base': 'stations', 'main': {'temp': 298.48, 'feels_like': 298.74, 'temp_min': 297.56, 'temp_max': 300.05, 'pressure': 1015, 'humidity': 64, 'sea_level': 1015, 'grnd_level': 933}, 'visibility': 10000, 'wind': {'speed': 0.62, 'deg': 349, 'gust': 1.18}, 'rain': {'1h': 3.16}, 'clouds': {'all': 100}, 'dt': 1661870592, 'sys': {'type': 2, 'id': 2075663, 'country': 'IT', 'sunrise': 1661834187, 'sunset': 1661882248}, 'timezone': 7200, 'id': 3163858, 'name': 'Zocca', 'cod': 200}"
2997,7,49,1,39.54,2022-08-09,7,Kurtis Weissnat,Elwyn.Skiles,Telly.Hoeger@billy.biz,Howemouth,24.8918,21.8984,"{'coord': {'lon': '21.8984', 'lat': '24.8918'}, 'weather': [{'id': 501, 'main': 'Rain', 'description': 'moderate rain', 'icon': '10d'}], 'base': 'stations', 'main': {'temp': 298.48, 'feels_like': 298.74, 'temp_min': 297.56, 'temp_max': 300.05, 'pressure': 1015, 'humidity': 64, 'sea_level': 1015, 'grnd_level': 933}, 'visibility': 10000, 'wind': {'speed': 0.62, 'deg': 349, 'gust': 1.18}, 'rain': {'1h': 3.16}, 'clouds': {'all': 100}, 'dt': 1661870592, 'sys': {'type': 2, 'id': 2075663, 'country': 'IT', 'sunrise': 1661834187, 'sunset': 1661882248}, 'timezone': 7200, 'id': 3163858, 'name': 'Zocca', 'cod': 200}"
